id,text,source_system_name,source_table_name,source_field_name,source_field_desc,sap_table_name,sap_field_name,sap_field_desc
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000108(管理番号10118)_インタフェース項目定義書_入庫指示受信データ_R0.81.xlsx_8_forward,[source_system:倉庫システム] [source_table:] [source_field:BSOKMAIN] [source_description:メイン倉庫],倉庫システム,,BSOKMAIN,メイン倉庫,MATDOC,WERKS,プラント
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000108(管理番号10118)_インタフェース項目定義書_入庫指示受信データ_R0.81.xlsx_8_backward,[source_system:部品SAP] [source_table:MATDOC] [source_field:WERKS] [source_description:プラント],部品SAP,MATDOC,WERKS,プラント,,BSOKMAIN,メイン倉庫
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000108(管理番号10118)_インタフェース項目定義書_入庫指示受信データ_R0.81.xlsx_10_forward,[source_system:倉庫システム] [source_table:] [source_field:BRNO] [source_description:Ｒ＃],倉庫システム,,BRNO,Ｒ＃,MATDOC,BWART,移動タイプ (在庫管理)
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000108(管理番号10118)_インタフェース項目定義書_入庫指示受信データ_R0.81.xlsx_10_backward,[source_system:部品SAP] [source_table:MATDOC] [source_field:BWART] [source_description:移動タイプ (在庫管理)],部品SAP,MATDOC,BWART,移動タイプ (在庫管理),,BRNO,Ｒ＃
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000108(管理番号10118)_インタフェース項目定義書_入庫指示受信データ_R0.81.xlsx_14_forward,[source_system:倉庫システム] [source_table:] [source_field:SSUR] [source_description:数量],倉庫システム,,SSUR,数量,MATDOC,MENGE,数量
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000108(管理番号10118)_インタフェース項目定義書_入庫指示受信データ_R0.81.xlsx_14_backward,[source_system:部品SAP] [source_table:MATDOC] [source_field:MENGE] [source_description:数量],部品SAP,MATDOC,MENGE,数量,,SSUR,数量
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000109(管理番号10122)_インタフェース項目定義書_入庫完了データ_R0.81.xlsx_8_forward,[source_system:倉庫システム] [source_table:RZ045] [source_field:BSOKMAIN] [source_description:メイン倉庫],倉庫システム,RZ045,BSOKMAIN,メイン倉庫,MATDOC,WERKS,保管場所間転送のプラント
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000109(管理番号10122)_インタフェース項目定義書_入庫完了データ_R0.81.xlsx_8_backward,[source_system:部品SAP] [source_table:MATDOC] [source_field:WERKS] [source_description:保管場所間転送のプラント],部品SAP,MATDOC,WERKS,保管場所間転送のプラント,RZ045,BSOKMAIN,メイン倉庫
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000109(管理番号10122)_インタフェース項目定義書_入庫完了データ_R0.81.xlsx_11_forward,[source_system:倉庫システム] [source_table:RZ045] [source_field:BHCHHIN] [source_description:発注品番],倉庫システム,RZ045,BHCHHIN,発注品番,MATDOC,MATNR,品目
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000109(管理番号10122)_インタフェース項目定義書_入庫完了データ_R0.81.xlsx_11_backward,[source_system:部品SAP] [source_table:MATDOC] [source_field:MATNR] [source_description:品目],部品SAP,MATDOC,MATNR,品目,RZ045,BHCHHIN,発注品番
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000109(管理番号10122)_インタフェース項目定義書_入庫完了データ_R0.81.xlsx_13_forward,[source_system:倉庫システム] [source_table:RZ045] [source_field:BFUG] [source_description:符号],倉庫システム,RZ045,BFUG,符号,MATDOC,BWART,移動タイプ
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000109(管理番号10122)_インタフェース項目定義書_入庫完了データ_R0.81.xlsx_13_backward,[source_system:部品SAP] [source_table:MATDOC] [source_field:BWART] [source_description:移動タイプ],部品SAP,MATDOC,BWART,移動タイプ,RZ045,BFUG,符号
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000109(管理番号10122)_インタフェース項目定義書_入庫完了データ_R0.81.xlsx_14_forward,[source_system:倉庫システム] [source_table:RZ045] [source_field:SSUR] [source_description:数量],倉庫システム,RZ045,SSUR,数量,MATDOC,MENGE,数量
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000109(管理番号10122)_インタフェース項目定義書_入庫完了データ_R0.81.xlsx_14_backward,[source_system:部品SAP] [source_table:MATDOC] [source_field:MENGE] [source_description:数量],部品SAP,MATDOC,MENGE,数量,RZ045,SSUR,数量
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000111(管理番号10128)_インタフェース項目定義書_ト・パ基本情報更新データ_R0.81.xlsx_10_forward,[source_system:倉庫システム] [source_table:RM061] [source_field:BHIN] [source_description:品番],倉庫システム,RM061,BHIN,品番,MARA,MATNR,品目
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000111(管理番号10128)_インタフェース項目定義書_ト・パ基本情報更新データ_R0.81.xlsx_10_backward,[source_system:部品SAP] [source_table:MARA] [source_field:MATNR] [source_description:品目],部品SAP,MARA,MATNR,品目,RM061,BHIN,品番
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000111(管理番号10128)_インタフェース項目定義書_ト・パ基本情報更新データ_R0.81.xlsx_11_forward,[source_system:倉庫システム] [source_table:RM061] [source_field:SSYMSPUHEI] [source_description:正味寸法（高さ）],倉庫システム,RM061,SSYMSPUHEI,正味寸法（高さ）,"MARA
MARM","HOEHE
HOEHE","高さ
MARA：部品単体
MARM：集合包装、外装、パレット"
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000111(管理番号10128)_インタフェース項目定義書_ト・パ基本情報更新データ_R0.81.xlsx_11_backward,"[source_system:部品SAP] [source_table:MARA
MARM] [source_field:HOEHE
HOEHE] [source_description:高さ
MARA：部品単体
MARM：集合包装、外装、パレット]",部品SAP,"MARA
MARM","HOEHE
HOEHE","高さ
MARA：部品単体
MARM：集合包装、外装、パレット",RM061,SSYMSPUHEI,正味寸法（高さ）
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000111(管理番号10128)_インタフェース項目定義書_ト・パ基本情報更新データ_R0.81.xlsx_12_forward,[source_system:倉庫システム] [source_table:RM061] [source_field:SSYMSPUHBA] [source_description:正味寸法（幅）],倉庫システム,RM061,SSYMSPUHBA,正味寸法（幅）,"MARA
MARM","BREIT
BREIT","横の長さ
MARA：部品単体
MARM：集合包装、外装、パレット"
